Band,Platform,Strategy,Variation,Run,LLM_Title,Gold_Title,Match_Score,Year,Substances covered,NLP Methodology,Journal/Conference,Authors,DOI,Match_Type,Review_Decision,Review_Reason
100 (exact),Ai2 Paper Finder,1,1,1,Automated-detection of risky alcohol use prior to surgery using natural language processing.,Automated-detection of risky alcohol use prior to surgery using natural language processing,100.00%,2024,Alcohol,Rule-based,Alcohol: Clinical and Experimental Research (Journal),V. G. Vinod Vydiswaran; Asher Strayhorn; Katherine Weber; Haley Stevens; Jessica Mellinger; G. Scott Winder; Anne C. Fernandez,10.1093/jamia/ocab148,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,ODD: A Benchmark Dataset for the Natural Language Processing Based Opioid Related Aberrant Behavior Detection,ODD: A Benchmark Dataset for the Natural Language Processing Based Opioid Related Aberrant Behavior Detection,100.00%,2024,Opioids,Large Language Models(LLMs) / Transformer Based Models,2024 ACM Conference (Conference/Proceedings),Kwon S; Wang X; Liu W; Druhl E; Sung ML; Reisman JI; Li W; Kerns RD; Becker W; Yu H,10.1145/11368170,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Disparities in cannabis use and documentation in electronic health records among children and young adults,Disparities in cannabis use and documentation in electronic health records among children and young adults,100.00%,2023,Cannabis,Rule-based; Large Language Models(LLMs) / Transformer Based Models,npj Digital Medicine (Journal),Nazgol Tavabi; Marium Raza; Mallika Singh; Shahriar Golchin; Harsev Singh; Grant D. Hogue; Ata M. Kiapour,10.1186/s12911-020-1099-y,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Using natural language processing of clinical text to enhance identification of opioid‚Äêrelated overdoses in electronic health records data,Using natural language processing of clinical text to enhance identification of opioid-related overdoses in electronic health records data,100.00%,2019,Any Substance Not Otherwise Specified,Rule-based,Pharmacoepidemiology and Drug Safety (Journal),Brian Hazlehurst; Carla A. Green; Nancy A. Perrin; John Brandes; David S. Carrell; Andrew Baer; Angela DeVeaugh√¢‚Ç¨¬êGeiss; Paul M. Coplan,10.1016/j.jclinepi.2019.11.006,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Bias and fairness assessment of a natural language processing opioid misuse classifier: detection and mitigation of electronic health record data disadvantages across racial subgroups,Bias and fairness assessment of a natural language processing opioid misuse classifier: detection and mitigation of electronic health record data disadvantages across racial subgroups,100.00%,2021,Opioids,"Deep Learning (RNN, LSTM, GRU, ....)",JAMIA (Journal),Hale M Thompson; Brihat Sharma; Sameer Bhalla; Randy Boley; Connor McCluskey; Dmitriy Dligach; Matthew M Churpek; Niranjan S Karnik; Majid Afshar,10.1016/j.ijmedinf.2022.104963,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Classifying Characteristics of Opioid Use Disorder From Hospital Discharge Summaries Using Natural Language Processing,Classifying Characteristics of Opioid Use Disorder From Hospital Discharge Summaries Using Natural Language Processing,100.00%,2022,Opioids,Large Language Models(LLMs) / Transformer Based Models,Frontiers in Public Health (Journal),Melissa N. Poulsen; Philip J. Freda; Vanessa Troiani; Anahita Davoudi; Danielle L. Mowery,10.1186/s12911-019-0864-2,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Clinical Documentation of Patient-Reported Medical Cannabis Use in Primary Care: Toward Scalable Extraction Using Natural Language Processing Methods,Clinical documentation of patient-reported medical cannabis use in primary care: Toward scalable extraction using natural language processing methods,100.00%,2022,Cannabis,Rule-based; Conventional Machine Learning,Substance Abuse (Journal),David S. Carrell; David J. Cronkite; Mary Shea; Malia Oliver; Casey Luce; Theresa E. Matson; Jennifer F. Bobb; Clarissa Hsu; Ingrid A. Binswanger; Kendall C. Browne; Andrew J. Saxon; Jennifer McCormack; Eve Jelstrom; Udi E. Ghitza; Cynthia I. Campbell; Katharine A. Bradley; Gwen T. Lapham,10.3390/app11198812,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,A search algorithm for identifying likely users and non-users of marijuana from the free text of the electronic medical record,A search algorithm for identifying likely users and non-users of marijuana from the free text of the electronic medical record,100.00%,2018,Cannabis,Rule-based,PLOS ONE (Journal),Salomeh Keyhani; Marzieh Vali; Beth Cohen; Alexandra Woodbridge; Melanie Arenson; Elnaz Eilkhani; Christina Aivadyan; Deborah Hasin,10.1177/14604582241296411,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Validation of an Alcohol Misuse Classifier in Hospitalized Patients.,Validation of an alcohol misuse classifier in hospitalized patients,100.00%,2020,Alcohol,Rule-based; Conventional Machine Learning,Alcohol (Journal),Daniel To; Brihat Sharma; Niranjan Karnik; Cara Joyce; Dmitriy Dligach; Majid Afshar,10.1038/s41746-023-00885-w,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Toward a clinical text encoder: pretraining for clinical natural language processing with applications to substance misuse,Toward a clinical text encoder: Pretraining for clinical natural language processing with applications to substance misuse,100.00%,2019,Alcohol; Opioids,"Conventional Machine Learning; Deep Learning (RNN, LSTM, GRU, ....)",JAMIA (Journal),Dmitriy Dligach; Majid Afshar; Timothy Miller,10.1109/BIBM49941.2020.9313258,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Leveraging Natural Language Processing to Augment Structured Social Determinants of Health Data in the Electronic Health Record,Leveraging natural language processing to augment structured social determinants of health data in the electronic health record,100.00%,2023,Alcohol; Tobacco,"Deep Learning (RNN, LSTM, GRU, ....); Large Language Models(LLMs) / Transformer Based Models",JAMIA (Journal),Kevin Lybarger; Nicholas J Dobbins; Ritche Long; Angad Singh; Patrick Wedgeworth; √É‚Äìzlem Uzuner; Meliha Yetisgen,10.1111/add.15730,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Detecting Social and Behavioral Determinants of Health with Structured and Free-Text Clinical Data,Detecting Social and Behavioral Determinants of Health with Structured and Free-Text Clinical Data,100.00%,2020,Alcohol; Opioids; Cannabis; Cocaine; Amphetamines; Any Substance Not Otherwise Specified,Conventional Machine Learning,Applied Clinical Informatics (Journal),Daniel J. Feller; Oliver J. Bear Don't Walk IV; Jason Zucker; Michael T. Yin; Peter Gordon; No√É¬©mie Elhadad,10.1093/ehjdh/ztac031,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Natural Language Processing of Clinical Notes to Identify Mental Illness and Substance Use Among People Living with HIV: Retrospective Cohort Study,Natural Language Processing of Clinical Notes to Identify Mental Illness and Substance Use Among People Living with HIV: Retrospective Cohort Study,100.00%,2021,Alcohol; Opioids; Cocaine; Polysubstance use,Rule-based,JMIR Medical Informatics (Journal),Jessica P Ridgway; Arno Uvin; Jessica Schmitt; Tomasz Oliwa; Ellen Almirol; Samantha Devlin; John Schneider,10.7910/DVN/KR0FRB,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Identifying and classifying opioid‚Äêrelated overdoses: A validation study,Identifying and classifying opioid-related overdoses: A validation study,100.00%,2019,Opioids,Conventional Machine Learning,Pharmacoepidemiology and Drug Safety (Journal),Carla A. Green; Nancy A. Perrin; Brian Hazlehurst; Shannon L. Janoff; Angela DeVeaugh√¢‚Ç¨¬êGeiss; David S. Carrell; Carlos G. Grijalva; Caihua Liang; Cheryl L. Enger; Paul M. Coplan,10.1186/s12874-024-02231-4,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,External validation of a machine learning classifier to identify unhealthy alcohol use in hospitalized patients,External validation of a machine learning classifier to identify unhealthy alcohol use in hospitalized patients,100.00%,2021,Alcohol,Conventional Machine Learning,Addiction (Journal),Yiqi Lin; Brihat Sharma; Hale M. Thompson; Randy Boley; Kathryn Perticone; Neeraj Chhabra; Majid Afshar; Niranjan S. Karnik,10.1371/journal.pone.0193706,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Data mining to retrieve smoking status from electronic health records in general practice,Data mining to retrieve smoking status from electronic health records in general practice,100.00%,2022,Tobacco,Rule-based,European Heart Journal ‚Äì Digital Health (Journal),Annemarijn R de Boer; Mark C H de Groot; T Katrien J Groenhof; Sander van Doorn; Ilonca Vaartjes; Michiel L Bots; Saskia Haitjema,10.1080/03009734.2020.1792010,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Identifying Alcohol-Related Information From Unstructured Bilingual Clinical Notes With Multilingual Transformers,Identifying Alcohol-Related Information From Unstructured Bilingual Clinical Notes With Multilingual Transformers,100.00%,2023,Alcohol,Conventional Machine Learning; Large Language Models(LLMs) / Transformer Based Models,IEEE Access (Journal),Han Kyul Kim; Yujin Park; Yeju Park; Eunji Choi; Sodam Kim; Hahyun You; Ye Seul Bae,10.1016/j.ijmedinf.2022.104979,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,A Study of Social and Behavioral Determinants of Health in Lung Cancer Patients Using Transformers-based Natural Language Processing Models,A Study of Social and Behavioral Determinants of Health in Lung Cancer Patients Using Transformers-based Natural Language Processing Models,100.00%,2021,Tobacco,"Deep Learning (RNN, LSTM, GRU, ....); Large Language Models(LLMs) / Transformer Based Models",AMIA Symposium Proceedings (Conference/Proceedings),Yu Z; Yang X; Dang C; Wu S; Adekkanattu P; Pathak J; George TJ; Hogan WR; Guo Y; Bian J; Wu Y,35309014,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Subtypes in patients with opioid misuse: A prognostic enrichment strategy using electronic health record data in hospitalized patients,Subtypes in patients with opioid misuse: A prognostic enrichment strategy using electronic health record data in hospitalized patients,100.00%,2019,Opioids; Cocaine,Rule-based; Conventional Machine Learning,PLOS ONE (Journal),Majid Afshar; Cara Joyce; Dmitriy Dligach; Brihat Sharma; Robert Kania; Meng Xie; Kristin Swope; Elizabeth Salisbury-Afshar; Niranjan S. Karnik,10.1371/journal.pone.0219717,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,A Comparison of Word Embeddings for the Biomedical Natural Language Processing,A comparison of word embeddings for the biomedical natural language processing,100.00%,2018,Tobacco,"Deep Learning (RNN, LSTM, GRU, ....)",Journal of Biomedical Informatics (Journal),Yanshan Wang; Sijia Liu; Naveed Afzal; Majid Rastegar-Mojarad; Liwei Wang; Feichen Shen; Paul Kingsbury; Hongfang Liu,10.1016/j.jbi.2018.09.008,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,1,Keyword Extraction Algorithm for Classifying Smoking Status from Unstructured Bilingual Electronic Health Records Based on Natural Language Processing,Keyword Extraction Algorithm for Classifying Smoking Status from Unstructured Bilingual Electronic Health Records Based on Natural Language Processing,100.00%,2021,Tobacco,Rule-based; Conventional Machine Learning,Applied Sciences (Journal),Ye Seul Bae; Kyung Hwan Kim; Han Kyul Kim; Sae Won Choi; Taehoon Ko; Hee Hwa Seo; Hae-Young Lee; Hyojin Jeon,10.1038/s41380-024-02533-5,Exact,Accepted,Verbatim title match (100% word overlap)
"[60,100) near-exact",Ai2 Paper Finder,1,1,1,Development and multimodal validation of a substance misuse algorithm for referral to treatment using artificial intelligence (SMART-AI): a retrospective deep learning study,Development and multimodal validation of a substance misuse algorithm for referral to treatment using artificial intelligence (SMART-Al): a retrospective deep learning study,88.89%,2022,Alcohol; Opioids; Other: non-opioid drug misuse,"Conventional Machine Learning; Deep Learning (RNN, LSTM, GRU, ....)",The Lancet Digital Health (Journal),Majid Afshar; Brihat Sharma; Dmitriy Dligach; Madeline Oguss; Randall Brown; Neeraj Chhabra; Hale M Thompson; Talar Markossian; Cara Joyce; Matthew M Churpek; Niranjan S Karnik,10.1016/S2589-7500(22)00041-3,Near-exact,Accepted,"Same study; title differs only by formatting (acronym, numbered prefix, subtitle truncation, punctuation or encoding artifact)"
"[60,100) near-exact",Ai2 Paper Finder,1,1,1,Extraction of Substance Use Information From Clinical Notes: Generative Pretrained Transformer–Based Investigation,Extraction of Substance Use Information From Clinical Notes: Generative Pretrained Transformer–Based Investigation,84.62%,2024,Alcohol; Tobacco; Any Substance Not Otherwise Specified,Large Language Models(LLMs) / Transformer Based Models,JMIR Medical Informatics (Journal),"F. Shah-Mohammadi, et al.",10.2196/56243,Near-exact,Accepted,"Same study; title differs only by formatting (acronym, numbered prefix, subtitle truncation, punctuation or encoding artifact)"
"[60,100) near-exact",Ai2 Paper Finder,1,1,1,Protocol for a Real-Time Electronic Health Record Implementation of a Natural Language Processing and Deep Learning Clinical Decision Support Tool: A Use-Case for an Opioid Misuse Screener in Hospitalized Adults,Deployment of Real-time Natural Language Processing and Deep Learning Clinical Decision Support in the Electronic Health Record: Pipeline Implementation for an Opioid Misuse Screener in Hospitalized Adults,76.00%,2023,Opioids,Conventional Machine Learning,JMIR Medical Informatics (Journal),Majid Afshar; Sabrina Adelaine; Felice Resnik; Marlon P Mundt; John Long; Margaret Leaf; Theodore Ampian; Graham J Wills; Benjamin Schnapp; Michael Chao; Randy Brown; Cara Joyce; Brihat Sharma; Dmitriy Dligach; Elizabeth S Burnside; Jane Mahoney; Matthew M Churpek; Brian W Patterson; Frank Liao,10.2196/44977,Near-exact,Rejected,different document type (review/protocol vs primary study)
100 (exact),Ai2 Paper Finder,1,1,2,Extracting Alcohol and Substance Abuse Status from Clinical Notes: The Added Value of Nursing Data,Extracting alcohol and substance abuse status from clinical notes: The added value of nursing data,100.00%,2019,Alcohol; Any Substance Not Otherwise Specified,Conventional Machine Learning,Studies in Health Technology and Informatics (Conference/Proceedings), Topaz Maxim;  Murga Ludmila;  Bar-Bachar Ofrit;  Cato Kenrick;  Collins Sarah,10.5220/0012717200003756,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,External validation of a machine learning classifier to identify unhealthy alcohol use in hospitalized patients,External validation of a machine learning classifier to identify unhealthy alcohol use in hospitalized patients,100.00%,2021,Alcohol,Conventional Machine Learning,Addiction (Journal),Yiqi Lin; Brihat Sharma; Hale M. Thompson; Randy Boley; Kathryn Perticone; Neeraj Chhabra; Majid Afshar; Niranjan S. Karnik,10.1371/journal.pone.0193706,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,ODD: A Benchmark Dataset for the Natural Language Processing Based Opioid Related Aberrant Behavior Detection,ODD: A Benchmark Dataset for the Natural Language Processing Based Opioid Related Aberrant Behavior Detection,100.00%,2024,Opioids,Large Language Models(LLMs) / Transformer Based Models,2024 ACM Conference (Conference/Proceedings),Kwon S; Wang X; Liu W; Druhl E; Sung ML; Reisman JI; Li W; Kerns RD; Becker W; Yu H,10.1145/11368170,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,Bias and fairness assessment of a natural language processing opioid misuse classifier: detection and mitigation of electronic health record data disadvantages across racial subgroups,Bias and fairness assessment of a natural language processing opioid misuse classifier: detection and mitigation of electronic health record data disadvantages across racial subgroups,100.00%,2021,Opioids,"Deep Learning (RNN, LSTM, GRU, ....)",JAMIA (Journal),Hale M Thompson; Brihat Sharma; Sameer Bhalla; Randy Boley; Connor McCluskey; Dmitriy Dligach; Matthew M Churpek; Niranjan S Karnik; Majid Afshar,10.1016/j.ijmedinf.2022.104963,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,Natural language processing and machine learning to identify alcohol misuse from the electronic health record in trauma patients: development and internal validation,Natural language processing and machine learning to identify alcohol misuse from the electronic health record in trauma patients: development and internal validation,100.00%,2019,Alcohol,Rule-based; Conventional Machine Learning,JAMIA (Journal),Majid Afshar; Andrew Phillips; Niranjan Karnik; Jeanne Mueller; Daniel To; Richard Gonzalez; Ron Price; Richard Cooper; Cara Joyce; Dmitriy Dligach,10.1093/jamia/ocy166,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,Deployment of Real-time Natural Language Processing and Deep Learning Clinical Decision Support in the Electronic Health Record: Pipeline Implementation for an Opioid Misuse Screener in Hospitalized Adults,Deployment of Real-time Natural Language Processing and Deep Learning Clinical Decision Support in the Electronic Health Record: Pipeline Implementation for an Opioid Misuse Screener in Hospitalized Adults,100.00%,2023,Opioids,Conventional Machine Learning,JMIR Medical Informatics (Journal),Majid Afshar; Sabrina Adelaine; Felice Resnik; Marlon P Mundt; John Long; Margaret Leaf; Theodore Ampian; Graham J Wills; Benjamin Schnapp; Michael Chao; Randy Brown; Cara Joyce; Brihat Sharma; Dmitriy Dligach; Elizabeth S Burnside; Jane Mahoney; Matthew M Churpek; Brian W Patterson; Frank Liao,10.2196/44977,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,Publicly available machine learning models for identifying opioid misuse from the clinical notes of hospitalized patients,Publicly available machine learning models for identifying opioid misuse from the clinical notes of hospitalized patients,100.00%,2020,Opioids,"Rule-based; Conventional Machine Learning; Deep Learning (RNN, LSTM, GRU, ....)",BMC Medical Informatics and Decision Making (Journal),Brihat Sharma; Dmitriy Dligach; Kristin Swope; Elizabeth Salisbury-Afshar; Niranjan S. Karnik; Cara Joyce; Majid Afshar,10.1016/j.ijmedinf.2021.104621,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,Automated detection of substance use information from electronic health records for a pediatric population,Automated detection of substance use information from electronic health records for a pediatric population,100.00%,2021,Alcohol; Opioids; Cannabis; Tobacco,"Rule-based; Conventional Machine Learning; Deep Learning (RNN, LSTM, GRU, ....)",JAMIA (Journal),Yizhao Ni; Alycia Bachtel; Katie Nause; Sarah Beal,10.2147/JPR.S389160,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,Automatically identifying opioid use disorder in non-cancer patients on chronic opioid therapy,Automatically identifying opioid use disorder in non-cancer patients on chronic opioid therapy,100.00%,2022,Opioids,Rule-based,Health Informatics Journal (Journal),Vivienne J Zhu; Leslie A Lenert; Kelly S Barth; Kit N Simpson; Hong Li; Michael Kopscik; Kathleen T Brady,10.1371/journal.pone.0074262,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,External validation of an opioid misuse machine learning classifier in hospitalized adult patients,External validation of an opioid misuse machine learning classifier in hospitalized adult patients,100.00%,2021,Opioids,"Deep Learning (RNN, LSTM, GRU, ....)",Addiction Science & Clinical Practice (Journal),Majid Afshar; Brihat Sharma; Sameer Bhalla; Hale M. Thompson; Dmitriy Dligach; Randy A. Boley; Ekta Kishen; Alan Simmons; Kathryn Perticone; Niranjan S. Karnik,10.1186/s13722-021-00229-7,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,Natural Language Processing of Clinical Notes to Identify Mental Illness and Substance Use Among People Living with HIV: Retrospective Cohort Study,Natural Language Processing of Clinical Notes to Identify Mental Illness and Substance Use Among People Living with HIV: Retrospective Cohort Study,100.00%,2021,Alcohol; Opioids; Cocaine; Polysubstance use,Rule-based,JMIR Medical Informatics (Journal),Jessica P Ridgway; Arno Uvin; Jessica Schmitt; Tomasz Oliwa; Ellen Almirol; Samantha Devlin; John Schneider,10.7910/DVN/KR0FRB,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,Automated Detection of Substance-Use Status and Related Information from Clinical Text,Automated Detection of Substance-Use Status and Related Information from Clinical Text,100.00%,2022,Alcohol; Tobacco; Any Substance Not Otherwise Specified,Rule-based,Sensors (Journal),Raid Alzubi; Hadeel Alzoubi; Stamos Katsigiannis; Daune West; Naeem Ramzan,10.3390/s22249609,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,Identifying and classifying opioid‚Äêrelated overdoses: A validation study,Identifying and classifying opioid-related overdoses: A validation study,100.00%,2019,Opioids,Conventional Machine Learning,Pharmacoepidemiology and Drug Safety (Journal),Carla A. Green; Nancy A. Perrin; Brian Hazlehurst; Shannon L. Janoff; Angela DeVeaugh√¢‚Ç¨¬êGeiss; David S. Carrell; Carlos G. Grijalva; Caihua Liang; Cheryl L. Enger; Paul M. Coplan,10.1186/s12874-024-02231-4,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,Using Natural Language Processing and Machine Learning to Identify Opioids in Electronic Health Record Data,Using Natural Language Processing and Machine Learning to Identify Opioids in Electronic Health Record Data,100.00%,2023,Opioids,Conventional Machine Learning,Journal of Pain Research (Journal),Sean P McDermott; Ajay D Wasan,10.1093/jamia/ocad073,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,Using natural language processing of clinical text to enhance identification of opioid‚Äêrelated overdoses in electronic health records data,Using natural language processing of clinical text to enhance identification of opioid-related overdoses in electronic health records data,100.00%,2019,Any Substance Not Otherwise Specified,Rule-based,Pharmacoepidemiology and Drug Safety (Journal),Brian Hazlehurst; Carla A. Green; Nancy A. Perrin; John Brandes; David S. Carrell; Andrew Baer; Angela DeVeaugh√¢‚Ç¨¬êGeiss; Paul M. Coplan,10.1016/j.jclinepi.2019.11.006,Exact,Accepted,Verbatim title match (100% word overlap)
100 (exact),Ai2 Paper Finder,1,1,2,Identifying Alcohol-Related Information From Unstructured Bilingual Clinical Notes With Multilingual Transformers,Identifying Alcohol-Related Information From Unstructured Bilingual Clinical Notes With Multilingual Transformers,100.00%,2023,Alcohol,Conventional Machine Learning; Large Language Models(LLMs) / Transformer Based Models,IEEE Access (Journal),Han Kyul Kim; Yujin Park; Yeju Park; Eunji Choi; Sodam Kim; Hahyun You; Ye Seul Bae,10.1016/j.ijmedinf.2022.104979,Exact,Accepted,Verbatim title match (100% word overlap)
